N_individu,Espece,Tolerance,Groupe_fonctionnel,Exposition,Exposition_num,Nb_feuilles_rameau,Longueur_rameau_cm,Diametre_rameau_mm,Id_feuille,Aire_feuilles_cm2,Masse_feuilles_g
1,Quercus rubra,7,Intolerant,sud-ouest,-45,15,22.5,5.75,1A,49.442,0.47
1,Quercus rubra,7,Intolerant,sud-ouest,-45,15,22.5,5.75,1B,53.922,0.57
1,Quercus rubra,7,Intolerant,sud-ouest,-45,15,22.5,5.75,1C,90.32,0.97
2,Populus tremuloides,9,Intolerant,sud-ouest,-45,8,6.0,4.06,2A,32.154,0.32
2,Populus tremuloides,9,Intolerant,sud-ouest,-45,8,6.0,4.06,2B,17.192,0.16
2,Populus tremuloides,9,Intolerant,sud-ouest,-45,8,6.0,4.06,2C,51.322,0.52
3,Populus tremuloides,9,Intolerant,sud-ouest,-45,8,5.5,4.03,3A,31.273,0.39
3,Populus tremuloides,9,Intolerant,sud-ouest,-45,8,5.5,4.03,3B,24.319,0.21
3,Populus tremuloides,9,Intolerant,sud-ouest,-45,8,5.5,4.03,3C,32.027,0.35
4,Populus tremuloides,9,Intolerant,ouest-sud-ouest,-77.5,4,1.3,2.38,4A,22.853,0.14
4,Populus tremuloides,9,Intolerant,ouest-sud-ouest,-77.5,4,1.3,2.38,4B,26.464,0.2
4,Populus tremuloides,9,Intolerant,ouest-sud-ouest,-77.5,4,1.3,2.38,4C,20.565,0.15
5,Fagus grandifolia,2,Tolerant,ouest-sud-ouest,-77.5,4,4.1,2.01,5A,48.294,0.25
5,Fagus grandifolia,2,Tolerant,ouest-sud-ouest,-77.5,4,4.1,2.01,5B,53.613,0.32
5,Fagus grandifolia,2,Tolerant,ouest-sud-ouest,-77.5,4,4.1,2.01,5C,50.255,0.26
6,Fagus grandifolia,2,Tolerant,ouest-sud-ouest,-77.5,7,14.0,3.02,6A,51.137,0.29
6,Fagus grandifolia,2,Tolerant,ouest-sud-ouest,-77.5,7,14.0,3.02,6B,55.886,0.4
6,Fagus grandifolia,2,Tolerant,ouest-sud-ouest,-77.5,7,14.0,3.02,6C,49.465,0.27
7,Acer pensylvanicum,3,Tolerant,nord-ouest,-135,2,1.3,3.32,7A,105.371,0.46
7,Acer pensylvanicum,3,Tolerant,nord-ouest,-135,2,1.3,3.32,7B,165.423,0.68
